CRASH_DATE,POSTED_SPEED_LIMIT,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,INTERSECTION_RELATED_I,PRIM_CONTRIBUTORY_CAUSE,BEAT_OF_OCCURRENCE,NUM_UNITS,CRASH_MONTH,INJURIES_TOTAL,CRASH_DAY_OF_WEEK,LATITUDE,LONGITUDE,week,day_of_week,day_name,month,hour,time_of_day,is_weekend,incident_occurred
2026-01-02 00:47:00,35,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,WET,NO DEFECTS,N,IMPROPER OVERTAKING/PASSING,BEAT_112,2,1,0,5,42.061101,-87.485343,1,4,Friday,1,0,Night,0,0
2026-01-02 06:20:00,25,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,T-INTERSECTION,STRAIGHT AND LEVEL,WET,WORN SURFACE,N,DISREGARDING TRAFFIC SIGNALS,BEAT_120,2,1,0,5,42.174462,-87.387097,1,4,Friday,1,6,Morning_Rush,0,0
2026-01-02 14:05:00,50,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ALLEY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,BEAT_115,2,1,0,5,42.10778,-87.445346,1,4,Friday,1,14,Midday,0,0
2026-01-02 22:36:00,40,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,FOLLOWING TOO CLOSELY,BEAT_105,1,1,0,5,41.952778,-87.572008,1,4,Friday,1,22,Night,0,0
2026-01-02 23:30:00,40,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,FOLLOWING TOO CLOSELY,BEAT_102,2,1,0,5,41.907545,-87.602164,1,4,Friday,1,23,Night,0,0
2026-01-09 04:31:00,30,RAIN,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,"CURVE, LEVEL",WET,NO DEFECTS,Y,IMPROPER OVERTAKING/PASSING,BEAT_108,3,1,1,5,41.990432,-87.533472,2,4,Friday,1,4,Night,0,1
2026-01-09 05:37:00,40,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,Y,PHYSICAL CONDITION OF DRIVER,BEAT_118,2,1,1,5,42.148725,-87.413926,2,4,Friday,1,5,Night,0,1
2026-01-09 05:42:00,30,CLEAR,DAYLIGHT,REAR END,T-INTERSECTION,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,BEAT_110,2,1,0,5,42.028403,-87.515579,2,4,Friday,1,5,Night,0,0
2026-01-09 07:18:00,30,CLEAR,DUSK,REAR END,NOT DIVIDED,STRAIGHT ON GRADE,DRY,NO DEFECTS,Y,WEATHER,BEAT_113,3,1,0,5,42.074454,-87.475543,2,4,Friday,1,7,Morning_Rush,0,0
2026-01-09 13:36:00,25,CLEAR,DARKNESS,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN,STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,FOLLOWING TOO CLOSELY,BEAT_119,2,1,0,5,42.166727,-87.398737,2,4,Friday,1,13,Midday,0,0
