CRASH_DATE,POSTED_SPEED_LIMIT,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,INTERSECTION_RELATED_I,PRIM_CONTRIBUTORY_CAUSE,BEAT_OF_OCCURRENCE,NUM_UNITS,CRASH_MONTH,INJURIES_TOTAL,CRASH_DAY_OF_WEEK,LATITUDE,LONGITUDE,week,day_of_week,day_name,month,hour,time_of_day,is_weekend,incident_occurred
2026-01-05 13:35:00,25,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,Y,FOLLOWING TOO CLOSELY,BEAT_117,2,1,0,1,42.139666,-87.420442,2,0,Monday,1,13,Midday,0,0
2026-01-05 15:09:00,40,SNOW,"DARKNESS, LIGHTED ROAD",PEDESTRIAN,DIVIDED - W/MEDIAN,STRAIGHT AND LEVEL,WET,NO DEFECTS,N,FOLLOWING TOO CLOSELY,BEAT_112,2,1,0,1,42.055414,-87.487899,2,0,Monday,1,15,Midday,0,0
2026-01-05 17:02:00,30,SNOW,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN,STRAIGHT AND LEVEL,WET,NO DEFECTS,N,FOLLOWING TOO CLOSELY,BEAT_117,3,1,0,1,42.129604,-87.430333,2,0,Monday,1,17,Evening_Rush,0,0
2026-01-05 18:04:00,40,CLEAR,DARKNESS,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,WEATHER,BEAT_118,2,1,1,1,42.14555,-87.412696,2,0,Monday,1,18,Evening_Rush,0,1
2026-01-05 18:40:00,30,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,PHYSICAL CONDITION OF DRIVER,BEAT_107,1,1,0,1,41.990441,-87.547342,2,0,Monday,1,18,Evening_Rush,0,0
2026-01-05 19:12:00,35,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,CURVE ON GRADE,DRY,NO DEFECTS,Y,DISREGARDING TRAFFIC SIGNALS,BEAT_117,4,1,0,1,42.133546,-87.424031,2,0,Monday,1,19,Evening_Rush,0,0
2026-01-05 21:21:00,30,CLEAR,DAYLIGHT,REAR END,FOUR WAY INTERSECTION,CURVE ON GRADE,DRY,NO DEFECTS,Y,FOLLOWING TOO CLOSELY,BEAT_117,2,1,0,1,42.131215,-87.426401,2,0,Monday,1,21,Night,0,0
2026-01-05 23:44:00,30,CLEAR,DAWN,REAR END,T-INTERSECTION,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,FAILING TO YIELD RIGHT-OF-WAY,BEAT_113,2,1,0,1,42.072203,-87.473005,2,0,Monday,1,23,Night,0,0
2026-01-12 05:59:00,40,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,WEATHER,BEAT_109,2,1,0,1,42.012683,-87.516505,3,0,Monday,1,5,Night,0,0
2026-01-12 06:26:00,25,SNOW,"DARKNESS, LIGHTED ROAD",REAR END,FOUR WAY INTERSECTION,STRAIGHT AND LEVEL,WET,NO DEFECTS,Y,FOLLOWING TOO CLOSELY,BEAT_113,2,1,0,1,42.074513,-87.478384,3,0,Monday,1,6,Morning_Rush,0,0
