CRASH_DATE,POSTED_SPEED_LIMIT,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,INTERSECTION_RELATED_I,PRIM_CONTRIBUTORY_CAUSE,BEAT_OF_OCCURRENCE,NUM_UNITS,CRASH_MONTH,INJURIES_TOTAL,CRASH_DAY_OF_WEEK,LATITUDE,LONGITUDE,week,day_of_week,day_name,month,hour,time_of_day,is_weekend,incident_occurred
2026-01-01 01:14:00,40,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,FOLLOWING TOO CLOSELY,BEAT_112,2,1,0,4,42.05424,-87.485476,1,3,Thursday,1,1,Night,0,0
2026-01-01 01:37:00,30,RAIN,DARKNESS,ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,WET,WORN SURFACE,N,FOLLOWING TOO CLOSELY,BEAT_109,2,1,0,4,42.01551,-87.519748,1,3,Thursday,1,1,Night,0,0
2026-01-01 05:44:00,35,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN,STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,WEATHER,BEAT_115,2,1,0,4,42.10498,-87.449033,1,3,Thursday,1,5,Night,0,0
2026-01-01 06:31:00,20,CLEAR,DARKNESS,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN,STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,FOLLOWING TOO CLOSELY,BEAT_117,2,1,0,4,42.131277,-87.426212,1,3,Thursday,1,6,Morning_Rush,0,0
2026-01-01 08:47:00,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN,STRAIGHT AND LEVEL,WET,DEBRIS ON ROAD,Y,IMPROPER OVERTAKING/PASSING,BEAT_109,2,1,0,4,42.012062,-87.527498,1,3,Thursday,1,8,Morning_Rush,0,0
2026-01-01 12:45:00,30,CLEAR,DARKNESS,REAR END,ONE-WAY,STRAIGHT AND LEVEL,ICE,NO DEFECTS,N,FAILING TO YIELD RIGHT-OF-WAY,BEAT_116,2,1,0,4,42.118598,-87.434811,1,3,Thursday,1,12,Midday,0,0
2026-01-01 14:35:00,45,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN,"CURVE, LEVEL",SNOW OR SLUSH,NO DEFECTS,Y,WEATHER,BEAT_116,2,1,0,4,42.11984,-87.444707,1,3,Thursday,1,14,Midday,0,0
2026-01-01 19:46:00,55,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,BEAT_112,2,1,0,4,42.059748,-87.485955,1,3,Thursday,1,19,Evening_Rush,0,0
2026-01-08 00:30:00,25,CLEAR,DARKNESS,REAR END,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,DISREGARDING TRAFFIC SIGNALS,BEAT_117,2,1,0,4,42.134384,-87.427459,2,3,Thursday,1,0,Night,0,0
2026-01-08 00:45:00,35,RAIN,DAYLIGHT,TURNING,T-INTERSECTION,STRAIGHT AND LEVEL,WET,NO DEFECTS,Y,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,BEAT_110,2,1,1,4,42.030517,-87.514212,2,3,Thursday,1,0,Night,0,1
2026-01-08 02:30:00,45,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,T-INTERSECTION,"CURVE, LEVEL",DRY,NO DEFECTS,Y,FOLLOWING TOO CLOSELY,BEAT_110,2,1,0,4,42.028256,-87.505197,2,3,Thursday,1,2,Night,0,0
2026-01-08 04:04:00,35,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN,STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,FOLLOWING TOO CLOSELY,BEAT_108,2,1,0,4,41.995179,-87.530404,2,3,Thursday,1,4,Night,0,0
2026-01-08 05:09:00,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,FOLLOWING TOO CLOSELY,BEAT_107,2,1,2,4,41.981248,-87.541765,2,3,Thursday,1,5,Night,0,1
2026-01-08 07:54:00,35,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT ON GRADE,DRY,WORN SURFACE,N,FOLLOWING TOO CLOSELY,BEAT_102,2,1,0,4,41.909864,-87.61071,2,3,Thursday,1,7,Morning_Rush,0,0
2026-01-08 08:55:00,35,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,FOLLOWING TOO CLOSELY,BEAT_117,3,1,0,4,42.133249,-87.429046,2,3,Thursday,1,8,Morning_Rush,0,0
2026-01-08 15:40:00,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,STRAIGHT ON GRADE,WET,NO DEFECTS,N,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,BEAT_102,2,1,0,4,41.907239,-87.608926,2,3,Thursday,1,15,Midday,0,0
2026-01-08 16:05:00,25,RAIN,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,WET,"RUT, HOLES",Y,WEATHER,BEAT_107,2,1,0,4,41.983859,-87.548482,2,3,Thursday,1,16,Evening_Rush,0,0
2026-01-15 01:57:00,25,RAIN,DARKNESS,REAR END,DIVIDED - W/MEDIAN,"CURVE, LEVEL",WET,SHOULDER DEFECT,N,FAILING TO YIELD RIGHT-OF-WAY,BEAT_115,2,1,0,4,42.100837,-87.453774,3,3,Thursday,1,1,Night,0,0
2026-01-15 02:08:00,25,CLEAR,DAYLIGHT,TURNING,FOUR WAY INTERSECTION,STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,PHYSICAL CONDITION OF DRIVER,BEAT_107,2,1,1,4,41.983207,-87.545957,3,3,Thursday,1,2,Night,0,1
2026-01-15 04:09:00,20,CLEAR,DAYLIGHT,REAR END,FOUR WAY INTERSECTION,STRAIGHT AND LEVEL,WET,NO DEFECTS,N,FOLLOWING TOO CLOSELY,BEAT_109,2,1,0,4,42.011228,-87.522788,3,3,Thursday,1,4,Night,0,0
2026-01-15 10:11:00,25,SNOW,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN,STRAIGHT AND LEVEL,WET,NO DEFECTS,Y,FOLLOWING TOO CLOSELY,BEAT_103,2,1,0,4,41.925719,-87.594876,3,3,Thursday,1,10,Midday,0,0
2026-01-15 10:32:00,40,SNOW,DAYLIGHT,REAR END,FOUR WAY INTERSECTION,STRAIGHT AND LEVEL,WET,WORN SURFACE,Y,FOLLOWING TOO CLOSELY,BEAT_102,1,1,0,4,41.905877,-87.605362,3,3,Thursday,1,10,Midday,0,0
2026-01-15 10:36:00,25,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,N,FOLLOWING TOO CLOSELY,BEAT_105,2,1,0,4,41.953843,-87.564996,3,3,Thursday,1,10,Midday,0,0
2026-01-15 11:40:00,40,SNOW,DAYLIGHT,ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,Y,PHYSICAL CONDITION OF DRIVER,BEAT_119,2,1,0,4,42.158629,-87.401361,3,3,Thursday,1,11,Midday,0,0
