CRASH_DATE,POSTED_SPEED_LIMIT,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,INTERSECTION_RELATED_I,PRIM_CONTRIBUTORY_CAUSE,BEAT_OF_OCCURRENCE,NUM_UNITS,CRASH_MONTH,INJURIES_TOTAL,CRASH_DAY_OF_WEEK,LATITUDE,LONGITUDE,week,day_of_week,day_name,month,hour,time_of_day,is_weekend,incident_occurred
2026-01-07 00:46:00,40,CLEAR,DAYLIGHT,ANGLE,ONE-WAY,STRAIGHT AND LEVEL,WET,"RUT, HOLES",Y,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,BEAT_115,2,1,0,3,42.105838,-87.445868,2,2,Wednesday,1,0,Night,0,0
2026-01-07 01:15:00,30,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN,STRAIGHT AND LEVEL,ICE,"RUT, HOLES",N,IMPROPER OVERTAKING/PASSING,BEAT_102,2,1,0,3,41.902067,-87.602831,2,2,Wednesday,1,1,Night,0,0
2026-01-07 03:00:00,30,CLEAR,DAYLIGHT,ANGLE,ONE-WAY,"CURVE, LEVEL",DRY,NO DEFECTS,N,PHYSICAL CONDITION OF DRIVER,BEAT_112,2,1,1,3,42.063369,-87.490603,2,2,Wednesday,1,3,Night,0,1
2026-01-07 04:20:00,25,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN,CURVE ON GRADE,DRY,NO DEFECTS,Y,FOLLOWING TOO CLOSELY,BEAT_106,2,1,0,3,41.966899,-87.557931,2,2,Wednesday,1,4,Night,0,0
2026-01-07 07:06:00,25,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN,STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,FOLLOWING TOO CLOSELY,BEAT_118,2,1,0,3,42.151597,-87.415152,2,2,Wednesday,1,7,Morning_Rush,0,0
2026-01-07 09:06:00,30,CLEAR,DARKNESS,REAR END,FOUR WAY INTERSECTION,STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,BEAT_101,2,1,0,3,41.894078,-87.621553,2,2,Wednesday,1,9,Morning_Rush,0,0
2026-01-07 10:32:00,25,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,N,DISREGARDING TRAFFIC SIGNALS,BEAT_106,2,1,0,3,41.97151,-87.559171,2,2,Wednesday,1,10,Midday,0,0
2026-01-07 12:35:00,50,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,FOLLOWING TOO CLOSELY,BEAT_108,2,1,0,3,41.999732,-87.532916,2,2,Wednesday,1,12,Midday,0,0
2026-01-07 19:56:00,25,RAIN,DAYLIGHT,SIDESWIPE SAME DIRECTION,FOUR WAY INTERSECTION,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,Y,FAILING TO YIELD RIGHT-OF-WAY,BEAT_112,2,1,0,3,42.058594,-87.485647,2,2,Wednesday,1,19,Evening_Rush,0,0
2026-01-07 20:28:00,30,CLEAR,DAYLIGHT,ANGLE,FOUR WAY INTERSECTION,STRAIGHT AND LEVEL,WET,"RUT, HOLES",N,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,BEAT_105,3,1,0,3,41.958528,-87.564617,2,2,Wednesday,1,20,Night,0,0
2026-01-07 23:33:00,40,SNOW,DUSK,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,Y,DISREGARDING TRAFFIC SIGNALS,BEAT_101,3,1,0,3,41.889305,-87.618751,2,2,Wednesday,1,23,Night,0,0
2026-01-14 00:16:00,25,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,"CURVE, LEVEL",DRY,NO DEFECTS,Y,FAILING TO YIELD RIGHT-OF-WAY,BEAT_108,2,1,0,3,41.996516,-87.531156,3,2,Wednesday,1,0,Night,0,0
2026-01-14 02:32:00,35,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY INTERSECTION,STRAIGHT AND LEVEL,DRY,"RUT, HOLES",N,PHYSICAL CONDITION OF DRIVER,BEAT_120,2,1,0,3,42.186146,-87.391781,3,2,Wednesday,1,2,Night,0,0
