CRASH_DATE,POSTED_SPEED_LIMIT,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,INTERSECTION_RELATED_I,PRIM_CONTRIBUTORY_CAUSE,BEAT_OF_OCCURRENCE,NUM_UNITS,CRASH_MONTH,INJURIES_TOTAL,CRASH_DAY_OF_WEEK,LATITUDE,LONGITUDE,week,day_of_week,day_name,month,hour,time_of_day,is_weekend,incident_occurred
2026-01-26 01:47:00,40,CLEAR,DARKNESS,ANGLE,FOUR WAY INTERSECTION,STRAIGHT AND LEVEL,WET,NO DEFECTS,Y,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,BEAT_106,2,1,0,1,41.963731,-87.556472,5,0,Monday,1,1,Night,0,0
2026-01-26 05:34:00,40,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,BEAT_109,2,1,1,1,42.012247,-87.525231,5,0,Monday,1,5,Night,0,1
2026-01-26 08:18:00,35,RAIN,DAYLIGHT,REAR END,ONE-WAY,STRAIGHT AND LEVEL,WET,NO DEFECTS,N,FAILING TO YIELD RIGHT-OF-WAY,BEAT_107,2,1,1,1,41.983001,-87.543953,5,0,Monday,1,8,Morning_Rush,0,1
2026-01-26 08:43:00,25,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,T-INTERSECTION,STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,FAILING TO YIELD RIGHT-OF-WAY,BEAT_114,2,1,0,1,42.083769,-87.461476,5,0,Monday,1,8,Morning_Rush,0,0
2026-01-26 09:26:00,35,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,CURVE ON GRADE,DRY,NO DEFECTS,Y,PHYSICAL CONDITION OF DRIVER,BEAT_113,1,1,1,1,42.074302,-87.47141,5,0,Monday,1,9,Morning_Rush,0,1
2026-01-26 14:04:00,30,CLEAR,DAYLIGHT,ANGLE,T-INTERSECTION,STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,FAILING TO YIELD RIGHT-OF-WAY,BEAT_120,2,1,0,1,42.180394,-87.393524,5,0,Monday,1,14,Midday,0,0
2026-01-26 18:29:00,35,RAIN,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,Y,FOLLOWING TOO CLOSELY,BEAT_107,2,1,1,1,41.981159,-87.537983,5,0,Monday,1,18,Evening_Rush,0,1
2026-01-26 20:00:00,30,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,FAILING TO YIELD RIGHT-OF-WAY,BEAT_101,2,1,0,1,41.893056,-87.61867,5,0,Monday,1,20,Night,0,0
2026-01-26 21:52:00,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN,STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,PHYSICAL CONDITION OF DRIVER,BEAT_117,3,1,0,1,42.128986,-87.422776,5,0,Monday,1,21,Night,0,0
2026-01-26 22:37:00,25,RAIN,DAYLIGHT,TURNING,ONE-WAY,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,Y,FOLLOWING TOO CLOSELY,BEAT_105,1,1,2,1,41.951439,-87.569274,5,0,Monday,1,22,Night,0,1
