zone_id,location_name,city,latitude,longitude,week,priority_score,priority_rank,priority_level,risk_score,population_exposure_score,vehicle_exposure_score,temporal_trend_score
Zone_10,Colaba,Mumbai,18.922,72.8347,52,85.18516258707938,5,CRITICAL,92.10000000000001,98.69961922551907,77.96689752318348,53.84585517375267
Zone_49,Sholinganallur,Chennai,12.901,80.2279,52,84.98788971421791,7,CRITICAL,96.15,73.12306918600474,70.5716633407677,94.21859833042127
Zone_31,Alambagh,Lucknow,26.813,80.918,52,80.6748765562989,16,CRITICAL,93.97999999999999,57.496946619728426,71.11163282075361,96.57542224810716
Zone_15,Dwarka,Delhi,28.5921,77.046,52,79.16101404086636,22,CRITICAL,83.78999999999999,97.00409512177599,89.57624134288062,23.191613278974955
Zone_50,Egmore,Chennai,13.0732,80.2609,52,77.2088056515447,23,CRITICAL,73.28,73.5038436669301,82.6857612395821,86.5579499126383
Zone_36,Rajajipuram,Lucknow,26.833,80.89,52,75.70680436439368,25,CRITICAL,77.47,81.73000933975142,55.5229487028994,87.87808192583965
Zone_21,Janakpuri,Delhi,28.6219,77.0878,52,75.00943188842936,26,CRITICAL,65.59,73.88461814785545,78.41295926751965,97.4645699864104
Zone_07,Goregaon,Mumbai,19.1663,72.8526,52,67.0221021217372,38,HIGH,96.03,42.43120913858755,53.010916774269276,49.33410988157639
Zone_01,Andheri,Mumbai,19.1197,72.8468,52,63.64595034194584,42,HIGH,84.06,52.913284000287376,53.28090151426223,40.91632692681033
Zone_40,Velachery,Chennai,12.9815,80.218,52,58.37586376243974,53,HIGH,87.03,47.194482362238666,49.970653832609464,11.807416035721218
Zone_14,Connaught Place,Delhi,28.6315,77.2167,52,57.23041065487971,56,HIGH,50.2,66.02485810762268,55.335133231599954,63.847796544360314
Zone_34,Chinhat,Lucknow,26.884,81.05,52,57.18120309330469,57,HIGH,90.8,14.074286945901285,52.76440896818876,45.26499708794409
Zone_11,Lower Parel,Mumbai,18.9988,72.8258,52,54.23094819385337,64,MODERATE,49.46,61.74294130325454,42.141096372813706,70.55329062317995
Zone_39,Anna Nagar,Chennai,13.085,80.2101,52,50.066385023398986,85,MODERATE,74.02,8.657231122925497,39.74644911374575,68.96524946612308
Zone_42,Guindy,Chennai,13.0067,80.2206,52,49.67221787696007,89,MODERATE,47.92,43.16402040376464,46.8130062213875,69.00407687827605
Zone_29,Indira Nagar,Lucknow,26.88,81.0,52,48.521420181815905,99,MODERATE,25.31,86.85250377182268,48.08076065265877,47.120947388856536
Zone_37,Vrindavan Yojana,Lucknow,26.79,81.0,52,48.372529511673285,101,MODERATE,29.54,72.65608161505855,54.90080995421999,49.41564744709765
Zone_38,T. Nagar,Chennai,13.0418,80.2341,52,47.93757302889834,104,MODERATE,36.64,55.13327106832387,54.73647141683296,57.00640652300524
Zone_22,Pitampura,Delhi,28.7033,77.1322,52,46.813333630739464,109,MODERATE,38.14,44.60808966161362,67.0149078530344,46.682197631527856
Zone_02,Bandra,Mumbai,19.0596,72.8295,52,45.812460626965446,117,MODERATE,28.28,79.49565342337812,40.826388073717574,43.07513104251602
Zone_47,Perambur,Chennai,13.1167,80.2333,52,45.03811726340881,123,MODERATE,37.59,48.09971980745743,44.25402042493251,60.84255484371967
Zone_35,Jankipuram,Lucknow,26.93,80.94,52,44.64985280728138,126,MODERATE,18.82,100.0,32.280784129592675,37.77130654241895
Zone_03,Kurla,Mumbai,19.0726,72.8845,52,42.021643297368215,136,MODERATE,44.07,45.43429844097995,32.65641507219158,43.358571151232766
Zone_06,Borivali,Mumbai,19.2307,72.8567,52,41.126470028009585,143,MODERATE,37.3,53.064156907823836,40.80291113980514,31.86565715395069
Zone_25,Okhla,Delhi,28.5355,77.264,52,40.39875318592462,146,MODERATE,20.31,67.74193548387096,41.10811128066675,47.45098039215686
Zone_46,Nungambakkam,Chennai,13.0569,80.2425,52,40.335969117666686,147,MODERATE,23.52,48.049428838278615,31.858199319168918,83.62648029508833
Zone_12,Malad,Mumbai,19.1874,72.8484,52,37.84056990233384,158,MODERATE,23.919999999999998,52.90609957611897,36.76487850686701,51.28712871287128
Zone_33,Aminabad,Lucknow,26.8465,80.94,52,37.56883763769411,160,MODERATE,34.97,40.11782455636181,39.28864890245334,37.95767812075324
Zone_05,Powai,Mumbai,19.1176,72.906,52,35.959718435947664,173,MODERATE,26.040000000000003,50.16164954378907,28.6653363070783,48.468258590564936
Zone_45,Mylapore,Chennai,13.0339,80.2676,52,35.762826604940074,176,MODERATE,39.73,11.68187369782312,41.577649958915366,57.56552125800815
Zone_26,Hazratganj,Lucknow,26.85,80.949,52,35.74287888552921,177,MODERATE,25.06,45.384007471801134,41.7537269632586,40.14754416618132
Zone_17,Saket,Delhi,28.5244,77.2066,52,35.19034103181431,183,MODERATE,25.25,48.15719520080465,27.51496654536918,50.32032615026208
Zone_41,Adyar,Chennai,13.0063,80.2574,52,35.037682521069556,184,MODERATE,60.699999999999996,8.535095912062648,28.125366827092385,19.992234517569404
Zone_24,Nehru Place,Delhi,28.5491,77.2519,52,31.365490000982394,200,LOW,17.080000000000002,52.25231697679431,16.55123840826388,54.40108716754028
Zone_30,Charbagh,Lucknow,26.8315,80.923,52,29.283630554193774,208,LOW,30.830000000000002,7.809469071053956,35.88449348515084,52.149097262667446
Zone_48,Ambattur,Chennai,13.1143,80.1486,52,28.251534075769214,211,LOW,22.33,18.952510956246858,22.83131822983918,66.76761793826441
Zone_04,Dadar,Mumbai,19.0178,72.8478,52,27.97219969031425,213,LOW,32.129999999999995,7.57238307349666,25.35508862542552,54.373907979033184
Zone_32,Mahanagar,Lucknow,26.8755,80.9595,52,27.90300544989147,215,LOW,18.22,42.29470507938789,14.37962202136401,47.769365171811295
Zone_20,Vasant Kunj,Delhi,28.5293,77.1541,52,25.836339666611906,222,LOW,15.9,16.80436812989439,27.87885902101186,64.6631721995729
Zone_27,Gomti Nagar,Lucknow,26.8467,81.0078,52,25.336567166117085,225,LOW,17.130000000000003,21.524534808535094,21.05880971945064,59.27781013395457
Zone_43,Tambaram,Chennai,12.9249,80.1,52,24.35961712614164,229,LOW,19.11,18.873482290394424,24.345580467190985,47.520869734032225
Zone_19,Lajpat Nagar,Delhi,28.5677,77.243,52,23.928650135287036,231,LOW,17.93,19.936777067318054,17.16163868998709,55.600854203067364
Zone_18,Karol Bagh,Delhi,28.6514,77.1907,52,22.70649218590538,239,LOW,14.84,13.894676341691214,18.80502406385726,63.57212191807415
Zone_09,Vashi,Mumbai,19.0771,72.9986,52,20.757580931659554,258,LOW,23.56,13.506717436597457,0.0,53.04601048340128
Zone_16,Rohini,Delhi,28.7495,77.0565,52,20.320167250614354,262,LOW,16.09,4.325023349378547,23.711703251555345,53.73713841972432
Zone_44,Porur,Chennai,13.0358,80.156,52,18.86516320381584,273,LOW,13.22,16.948056613262448,6.831787768517432,53.15860997864492
Zone_23,Shahdara,Delhi,28.673,77.2891,52,18.463233204438318,276,LOW,14.41,6.2288957540053165,14.708299096138045,54.668996311395844
Zone_13,Chembur,Mumbai,19.062,72.897,52,18.351594641817123,278,LOW,23.66,0.0,0.0,59.25063094544748
Zone_08,Thane,Mumbai,19.2183,72.9781,52,17.02231821987273,284,LOW,18.509999999999998,4.878224010345571,4.801032985092147,49.59037080178605
Zone_28,Aliganj,Lucknow,26.886,80.9462,52,16.37749854318198,291,LOW,19.439999999999998,3.4772612975070047,2.711585866885785,47.93244030285381
