zone_id,location_name,city,latitude,longitude
Zone_01,Streeterville - Navy Pier / Grand Ave Lakefront Promenade,Chicago,41.8924,-87.6225
Zone_02,Downtown Loop - Congress Pkwy / Van Buren Transit Gateway,Chicago,41.881,-87.6205
Zone_03,Gage Park - 59th St / California Ave,Chicago,41.7831,-87.7368
Zone_04,Chicago Lawn - 67th St / Kedzie Ave,Chicago,41.805,-87.7291
Zone_05,River North - Merchandise Mart / Kinzie St Tech Hub,Chicago,41.8916,-87.6342
Zone_06,South Loop - Roosevelt Rd / Michigan Ave Retail Center,Chicago,41.882,-87.634
Zone_07,Ashburn - 79th St / Cicero Ave Ford City Mall,Chicago,41.7669,-87.7227
Zone_08,Ashburn - 83rd St / Pulaski Rd,Chicago,41.743,-87.7216
Zone_09,Rogers Park - Morse Ave / Glenwood Ave Arts District,Chicago,41.9942,-87.6916
Zone_10,Belmont Cragin - Diversey Ave / Laramie Ave,Chicago,41.9238,-87.7879
Zone_11,Galewood North - North Ave / Narragansett Ave,Chicago,41.9097,-87.7461
Zone_12,Pilsen - 18th St / Halsted St Arts Corridor,Chicago,41.8696,-87.6475
Zone_13,Edison Park - Northwest Hwy / Touhy Ave Dining Strip,Chicago,41.9681,-87.759
Zone_14,Norwood Park - Devon Ave / Nagle Ave,Chicago,41.9758,-87.7772
Zone_15,South Shore - 67th St / South Shore Cultural Center,Chicago,41.7758,-87.5763
Zone_16,West Lawn - 67th St / Cicero Ave,Chicago,41.7933,-87.7107
Zone_17,West Lawn - 63rd St / Pulaski Rd Commercial Center,Chicago,41.8081,-87.7144
Zone_18,Pilsen - 18th St / Ashland Ave Arts & Cultural District,Chicago,41.8741,-87.6667
Zone_19,Streeterville - Northwestern Memorial Hospital Medical Core,Chicago,41.8977,-87.6231
Zone_20,Rogers Park - Howard St / Clark St Transit Terminal,Chicago,42.0121,-87.6904
Zone_21,Auburn Gresham - 79th St / Western Ave Transit Corridor,Chicago,41.7366,-87.6133
Zone_22,Albany Park - Montrose Ave / Kimball Ave Brown Line,Chicago,41.9723,-87.7274
Zone_23,Prairie District - 18th St / Indiana Ave Historic Mansions,Chicago,41.8603,-87.6192
Zone_24,Clearing - Midway Airport 55th St Cargo Corridor,Chicago,41.779,-87.7034
Zone_25,Gage Park - 51st St / Kedzie Ave Commercial,Chicago,41.7924,-87.7819
Zone_26,South Loop - Museum Campus / Lake Shore Dr / Soldier Field,Chicago,41.873,-87.6277
Zone_27,West Loop - Van Buren St / Racine Ave Blue Line,Chicago,41.8901,-87.6478
Zone_28,Auburn Gresham - 79th St / Halsted St Major Crossroad,Chicago,41.7528,-87.6247
Zone_29,Bridgeport - 35th St / Morgan St Historic Strip,Chicago,41.8322,-87.6715
Zone_30,South Lawndale - 31st St / Kostner Ave Corridor,Chicago,41.8483,-87.6854
Zone_31,Ashburn - 87th St / Kedzie Ave St. Xavier Campus,Chicago,41.7501,-87.6924
Zone_32,Hermosa - Armitage Ave / Pulaski Rd (Walt Disney Birthplace),Chicago,41.9315,-87.7467
Zone_33,Beverly - 95th St / Western Ave Commercial Hub,Chicago,41.6964,-87.7021
Zone_34,Humboldt Park East - North Ave / California Ave,Chicago,41.9249,-87.6808
Zone_35,Irving Park - Addison St / Pulaski Rd,Chicago,41.9608,-87.7347
Zone_36,Chinatown - Cermak Rd / Wentworth Ave Gate,Chicago,41.8578,-87.6271
Zone_37,North Park - Bryn Mawr Ave / Kimball Ave NEIU Campus,Chicago,41.9465,-87.7077
Zone_38,River North - Ontario St / LaSalle St Entertainment,Chicago,41.9025,-87.6261
Zone_39,Roseland - 95th St Red Line Transit Terminal,Chicago,41.7159,-87.6154
Zone_40,University Village - UIC East Campus / Halsted St,Chicago,41.8832,-87.6554
Zone_41,Bridgeport - 31st St / Halsted St Arts District,Chicago,41.8281,-87.694
Zone_42,Avalon Park - 79th St / Stony Island Ave Hub,Chicago,41.7516,-87.586
Zone_43,Beverly - 103rd St / Longwood Dr Historic Hill,Chicago,41.6919,-87.6776
Zone_44,McKinley Park - 35th St / Archer Ave Orange Line Hub,Chicago,41.8508,-87.6348
Zone_45,Avondale - Elston Ave / Addison St Retail Corridor,Chicago,41.9465,-87.7195
Zone_46,Albany Park - Lawrence Ave / Kedzie Ave Global Dining,Chicago,41.9904,-87.7174
Zone_47,Belmont Cragin - Fullerton Ave / Narragansett Ave,Chicago,41.9235,-87.7659
Zone_48,Galewood - Grand Ave / Central Ave Commercial,Chicago,41.8766,-87.7466
Zone_49,Avalon Park - 83rd St / South Chicago Ave Diagonal,Chicago,41.7371,-87.5851
Zone_50,Brighton Park - 43rd St / California Ave,Chicago,41.8099,-87.6929
