zone_id,week,zone_type,population_density,vehicle_density,congestion,average_speed,congestion_trend_4w,actual_incident,predicted_risk_probability,model_name,risk_score,population_exposure_score,vehicle_exposure_score,temporal_trend_score,priority_score,priority_rank,priority_level,location_name,city,latitude,longitude
Zone_01,47,Commercial_Downtown,8726,51.47,48.39,50.76,-0.848,0,0.6358,Random Forest Classifier,63.580000000000005,52.913284000287376,60.41788942364127,50.25431954960201,58.282046817240406,54,HIGH,Andheri,Mumbai,19.1197,72.8468
Zone_01,48,Commercial_Downtown,8726,50.45,47.1,53.43,-0.308,1,0.7113,Random Forest Classifier,71.13000000000001,52.913284000287376,59.220565794107294,52.35099980586294,61.37708412977275,50,HIGH,Andheri,Mumbai,19.1197,72.8468
Zone_01,49,Commercial_Downtown,8726,53.76,50.58,47.88,-1.363,0,0.6328,Random Forest Classifier,63.28,52.913284000287376,63.10599835661462,48.25470782372355,58.3997268449533,52,HIGH,Andheri,Mumbai,19.1197,72.8468
Zone_01,50,Commercial_Downtown,8726,47.04,40.88,50.09,-1.266,0,0.6619,Random Forest Classifier,66.19,52.913284000287376,55.21774856203779,48.63133372160745,58.04257077072052,55,HIGH,Andheri,Mumbai,19.1197,72.8468
Zone_01,51,Commercial_Downtown,8726,43.82,39.49,51.05,-1.905,0,0.5904,Random Forest Classifier,59.040000000000006,52.913284000287376,51.4379622021364,46.15026208503203,54.05445275325393,66,MODERATE,Andheri,Mumbai,19.1197,72.8468
Zone_01,52,Commercial_Downtown,8726,45.39,60.3,40.72,-3.253,1,0.8406,Random Forest Classifier,84.06,52.913284000287376,53.28090151426223,40.91632692681033,63.64595034194584,42,HIGH,Andheri,Mumbai,19.1197,72.8468
Zone_02,47,Residential,12426,41.47,22.89,62.35,0.873,0,0.2708,Random Forest Classifier,27.08,79.49565342337812,48.67942246742575,56.93651718112987,48.982275426499164,92,MODERATE,Bandra,Mumbai,19.0596,72.8295
Zone_02,48,Residential,12426,47.02,26.42,57.43,0.755,0,0.3235,Random Forest Classifier,32.35,79.49565342337812,55.19427162812537,56.478353717724715,52.32452073912832,74,MODERATE,Bandra,Mumbai,19.0596,72.8295
Zone_02,49,Residential,12426,45.84,24.26,59.52,2.147,0,0.2753,Random Forest Classifier,27.529999999999998,79.49565342337812,53.809132527291936,61.88312948941953,50.93020928471584,79,MODERATE,Bandra,Mumbai,19.0596,72.8295
Zone_02,50,Residential,12426,43.46,21.86,61.52,2.399,0,0.2293,Random Forest Classifier,22.93,79.49565342337812,51.01537739171265,62.86158027567462,48.67822587553825,96,MODERATE,Bandra,Mumbai,19.0596,72.8295
Zone_02,51,Residential,12426,37.63,18.23,60.84,-0.525,0,0.2142,Random Forest Classifier,21.42,79.49565342337812,44.171851156239,51.508444962143265,45.00255033141382,124,MODERATE,Bandra,Mumbai,19.0596,72.8295
Zone_02,52,Residential,12426,34.78,20.56,54.06,-2.697,0,0.2828,Random Forest Classifier,28.28,79.49565342337812,40.826388073717574,43.07513104251602,45.812460626965446,117,MODERATE,Bandra,Mumbai,19.0596,72.8295
Zone_03,47,University_District,7685,35.24,37.26,49.03,0.982,0,0.5092,Random Forest Classifier,50.92,45.43429844097995,41.366357553703494,57.359735973597346,48.60380651702529,97,MODERATE,Kurla,Mumbai,19.0726,72.8845
Zone_03,48,University_District,7685,34.11,38.6,47.38,4.955,0,0.572,Random Forest Classifier,57.199999999999996,45.43429844097995,40.03991078765113,72.78586682197631,53.164436791071665,68,MODERATE,Kurla,Mumbai,19.0726,72.8845
Zone_03,49,University_District,7685,27.51,19.18,56.44,4.267,0,0.2005,Random Forest Classifier,20.05,45.43429844097995,32.29252259654889,70.11454086585128,36.35426025943246,168,MODERATE,Kurla,Mumbai,19.0726,72.8845
Zone_03,50,University_District,7685,27.66,26.96,49.78,-4.36,0,0.3191,Random Forest Classifier,31.91,45.43429844097995,32.46859960089212,36.61813240147544,36.10901439064473,171,MODERATE,Kurla,Mumbai,19.0726,72.8845
Zone_03,51,University_District,7685,26.95,27.26,51.98,-5.032,0,0.3247,Random Forest Classifier,32.47,45.43429844097995,31.635168447000822,34.00893030479518,35.77494784536442,175,MODERATE,Kurla,Mumbai,19.0726,72.8845
Zone_03,52,University_District,7685,27.82,24.77,47.64,-2.624,0,0.4407,Random Forest Classifier,44.07,45.43429844097995,32.65641507219158,43.358571151232766,42.021643297368215,136,MODERATE,Kurla,Mumbai,19.0726,72.8845
Zone_04,47,Highway_Junction,2415,32.76,17.69,63.21,-3.796,0,0.2451,Random Forest Classifier,24.51,7.57238307349666,38.455217748562035,38.80799844690351,25.2093390851221,227,LOW,Dadar,Mumbai,19.0178,72.8478
Zone_04,48,Highway_Junction,2415,25.34,20.97,53.41,-4.781,0,0.3097,Random Forest Classifier,30.97,7.57238307349666,29.745275267050125,34.98349834983499,25.477675574259436,223,LOW,Dadar,Mumbai,19.0178,72.8478
Zone_04,49,Highway_Junction,2415,23.5,14.5,58.64,-3.492,0,0.1981,Random Forest Classifier,19.81,7.57238307349666,27.585397347106465,39.9883517763541,21.332428004248573,253,LOW,Dadar,Mumbai,19.0178,72.8478
Zone_04,50,Highway_Junction,2415,23.18,19.0,53.32,0.19,0,0.209,Random Forest Classifier,20.9,7.57238307349666,27.209766404507572,54.28460493108134,23.83773978893788,232,LOW,Dadar,Mumbai,19.0178,72.8478
Zone_04,51,Highway_Junction,2415,26.53,20.18,56.14,-0.254,0,0.2303,Random Forest Classifier,23.03,7.57238307349666,31.14215283483977,52.56066783148903,25.217626510065475,226,LOW,Dadar,Mumbai,19.0178,72.8478
Zone_04,52,Highway_Junction,2415,21.6,17.99,48.64,0.213,1,0.3213,Random Forest Classifier,32.129999999999995,7.57238307349666,25.35508862542552,54.373907979033184,27.97219969031425,213,LOW,Dadar,Mumbai,19.0178,72.8478
Zone_05,47,Commercial_Downtown,8343,24.95,16.82,63.95,0.507,0,0.2277,Random Forest Classifier,22.770000000000003,50.16164954378907,29.287475055757717,55.515433896330805,35.83322248154843,174,MODERATE,Powai,Mumbai,19.1176,72.906
Zone_05,48,Commercial_Downtown,8343,18.24,20.09,50.28,1.453,0,0.2723,Random Forest Classifier,27.229999999999997,50.16164954378907,21.4109637281371,59.18850708600271,36.59288119447509,166,MODERATE,Powai,Mumbai,19.1176,72.906
