timestamp_seconds,vehicle_count,tracked_vehicle_count,moving_vehicle_count,slow_vehicle_count,stopped_vehicle_count,moving_vehicle_percentage,slow_vehicle_percentage,stopped_vehicle_percentage,average_speed_kmh,median_speed_kmh,average_pixel_speed,median_pixel_speed,vehicle_density_score,vehicle_density_proxy,movement_congestion_score,vision_congestion_score,camera_congestion,traffic_state,camera_traffic_state,calibration_status,cars,motorcycles,buses,trucks,total_pixel_movement,unknown
0.167,16,16,0,0,0,0.0,0.0,0.0,,,0.0,0.0,68.75,76.19,10.0,33.5,21.75,MODERATE,LOW,demo_calibration,11,0,4,1,0.0,16
0.333,16,16,0,2,14,0.0,12.5,87.5,1.18,1.25,6.72,6.74,68.75,76.19,73.75,71.75,72.75,HIGH,HIGH,demo_calibration,11,0,4,1,17.84,0
0.5,17,17,0,2,14,0.0,11.76470588235294,82.35294117647058,1.14,0.93,6.49,6.34,75.0,80.95,70.0,72.0,71.0,HIGH,HIGH,demo_calibration,11,0,5,1,17.34,1
0.667,17,17,0,3,14,0.0,17.647058823529413,82.35294117647058,1.43,1.54,6.61,6.69,75.0,80.95,71.18,72.71,71.94,HIGH,HIGH,demo_calibration,11,0,5,1,18.77,0
0.833,18,18,0,1,16,0.0,5.555555555555555,88.88888888888889,1.11,1.26,5.44,6.02,81.25,85.71,73.33,76.5,74.91,SEVERE,HIGH,demo_calibration,12,0,5,1,15.36,1
1.0,18,18,0,0,18,0.0,0.0,100.0,0.52,0.1,2.82,1.5,81.25,85.71,80.0,80.5,80.25,SEVERE,SEVERE,demo_calibration,12,0,5,1,8.47,0
1.167,18,18,0,1,17,0.0,5.555555555555555,94.44444444444444,0.89,0.82,4.74,5.99,81.25,85.71,77.22,78.83,78.03,SEVERE,SEVERE,demo_calibration,13,0,5,0,14.24,0
1.333,18,18,0,4,14,0.0,22.22222222222222,77.77777777777779,1.5,1.21,6.52,6.02,81.25,85.71,68.89,73.83,71.36,HIGH,HIGH,demo_calibration,12,0,5,1,19.48,0
1.5,18,18,0,5,13,0.0,27.77777777777778,72.22222222222221,2.01,1.59,9.35,8.47,81.25,85.71,66.11,72.17,69.14,HIGH,HIGH,demo_calibration,12,0,5,1,28.1,0
1.667,18,18,0,7,11,0.0,38.88888888888889,61.11111111111112,1.93,1.55,8.75,6.69,81.25,85.71,60.56,68.84,64.7,HIGH,HIGH,demo_calibration,12,0,6,0,26.29,0
