timestamp_seconds,vehicle_count,cars,motorcycles,buses,trucks
0.167,16,11,0,4,1
0.333,16,11,0,4,1
0.5,17,11,0,5,1
0.667,17,11,0,5,1
0.833,18,12,0,5,1
1.0,18,12,0,5,1
1.167,18,13,0,5,0
1.333,18,12,0,5,1
1.5,18,12,0,5,1
1.667,18,12,0,6,0
1.833,17,12,0,5,0
2.0,18,12,0,6,0
2.167,18,12,0,5,1
2.333,18,12,0,6,0
2.5,17,12,0,4,1
2.667,17,12,0,5,0
2.833,18,13,0,5,0
3.0,18,13,0,5,0
3.167,19,14,0,5,0
3.333,20,14,0,6,0
3.5,20,15,0,5,0
3.667,20,14,0,6,0
3.833,21,14,0,7,0
4.0,19,12,0,7,0
4.167,19,12,0,7,0
4.333,19,12,0,7,0
4.5,5,4,0,1,0
4.667,17,14,0,2,1
4.833,17,14,0,2,1
5.0,18,15,0,2,1
5.167,17,15,0,2,0
5.333,16,14,0,2,0
5.5,16,14,0,2,0
5.667,17,15,0,2,0
5.833,16,13,0,2,1
6.0,15,12,0,2,1
6.167,17,12,1,2,2
6.333,19,14,1,2,2
6.5,19,14,2,2,1
6.667,20,14,3,2,1
6.833,20,14,3,2,1
7.0,17,14,0,2,1
7.167,17,14,1,2,0
7.333,18,15,1,2,0
7.5,17,14,1,2,0
7.667,17,14,1,2,0
7.833,17,14,1,2,0
8.0,16,13,1,2,0
8.167,15,12,1,2,0
8.333,15,13,0,2,0
8.5,16,14,0,2,0
8.667,16,14,0,2,0
8.833,14,12,0,2,0
9.0,12,10,0,2,0
9.167,14,12,0,2,0
9.333,14,12,0,2,0
9.5,14,12,0,2,0
9.667,13,11,0,2,0
9.833,14,12,0,2,0
10.0,12,9,0,2,1
10.167,12,10,0,2,0
10.333,14,12,0,2,0
