timestamp_seconds,vehicle_count,tracked_vehicle_count,moving_vehicle_count,slow_vehicle_count,stopped_vehicle_count,moving_vehicle_percentage,slow_vehicle_percentage,stopped_vehicle_percentage,average_pixel_speed,median_pixel_speed,vehicle_density_score,vehicle_density_proxy,movement_congestion_score,vision_congestion_score,camera_congestion,traffic_state,camera_traffic_state
0.167,16,16,0,0,16,0.0,0.0,100.0,0.0,0.0,68.75,76.19,80.0,75.5,77.75,SEVERE,SEVERE
0.333,16,16,3,12,1,18.75,75.0,6.25,6.190097724491745,5.1418878951402025,68.75,76.19,27.5,44.0,35.75,MODERATE,MODERATE
0.5,17,17,2,13,2,11.76470588235294,76.47058823529412,11.76470588235294,5.289733103152821,4.234172342434417,75.0,80.95,32.352941176470594,49.41176470588236,40.88,MODERATE,MODERATE
0.667,17,17,2,15,0,11.76470588235294,88.23529411764706,0.0,5.855146727807347,5.988023952095807,75.0,80.95,26.47058823529412,45.88235294117647,36.18,MODERATE,MODERATE
0.833,18,18,0,14,4,0.0,77.77777777777779,22.22222222222222,3.633664096740106,3.635863798754663,81.25,85.71,41.11111111111112,57.16666666666667,49.14,HIGH,MODERATE
1.0,18,18,0,12,6,0.0,66.66666666666666,33.33333333333333,3.1991592601520047,3.61409215924116,81.25,85.71,46.66666666666666,60.49999999999999,53.58,HIGH,MODERATE
1.167,18,18,0,17,1,0.0,94.44444444444444,5.555555555555555,4.10127316192488,3.61409215924116,81.25,85.71,32.77777777777778,52.16666666666667,42.47,MODERATE,MODERATE
1.333,18,18,1,15,2,5.555555555555555,83.33333333333334,11.11111111111111,5.375237197937162,6.024096385542172,81.25,85.71,33.888888888888886,52.83333333333333,43.36,MODERATE,MODERATE
1.5,18,18,6,11,1,33.33333333333333,61.11111111111112,5.555555555555555,7.600558248058767,8.72519030650627,81.25,85.71,22.77777777777778,46.16666666666666,34.47,MODERATE,MODERATE
1.667,18,18,5,13,0,27.77777777777778,72.22222222222221,0.0,7.931516591546805,6.341419127993696,81.25,85.71,21.666666666666664,45.5,33.58,MODERATE,MODERATE
1.833,17,17,0,16,1,0.0,94.11764705882352,5.88235294117647,4.762057814012626,4.2596794047382405,75.0,80.95,32.94117647058823,49.76470588235294,41.35,MODERATE,MODERATE
2.0,18,18,1,14,3,5.555555555555555,77.77777777777779,16.666666666666664,4.881820866358974,3.61409215924116,81.25,85.71,36.66666666666666,54.49999999999999,45.58,MODERATE,MODERATE
2.167,18,18,0,13,5,0.0,72.22222222222221,27.77777777777778,2.934295795872833,2.994011976047908,81.25,85.71,43.888888888888886,58.83333333333333,51.36,HIGH,MODERATE
2.333,18,18,0,12,6,0.0,66.66666666666666,33.33333333333333,3.2281238060007187,3.012048192771078,81.25,85.71,46.66666666666666,60.49999999999999,53.58,HIGH,MODERATE
2.5,17,17,2,12,3,11.76470588235294,70.58823529411765,17.647058823529413,4.140835792651246,2.994011976047908,75.0,80.95,35.294117647058826,51.17647058823529,43.24,MODERATE,MODERATE
2.667,17,17,0,14,3,0.0,82.35294117647058,17.647058823529413,4.941035556033917,5.988023952095815,75.0,80.95,38.8235294117647,53.294117647058826,46.06,MODERATE,MODERATE
2.833,18,18,0,16,2,0.0,88.88888888888889,11.11111111111111,5.459620105852832,6.024096385542156,81.25,85.71,35.55555555555556,53.83333333333333,44.69,MODERATE,MODERATE
3.0,18,18,3,14,1,16.666666666666664,77.77777777777779,5.555555555555555,6.985130022961872,5.988023952095815,81.25,85.71,27.77777777777778,49.16666666666667,38.47,MODERATE,MODERATE
3.167,19,19,0,15,4,0.0,78.94736842105263,21.052631578947366,4.033178923711326,4.234172342434421,87.5,90.48,40.526315789473685,59.315789473684205,49.92,HIGH,MODERATE
3.333,20,20,0,13,7,0.0,65.0,35.0,3.146524431775922,3.012048192771078,93.75,95.24,47.5,66.0,56.75,HIGH,HIGH
3.5,20,20,1,12,7,5.0,60.0,35.0,3.4784532900448824,2.994011976047908,93.75,95.24,46.0,65.1,55.55,HIGH,HIGH
3.667,20,20,1,12,7,5.0,60.0,35.0,3.0279599943734103,2.994011976047908,93.75,95.24,46.0,65.1,55.55,HIGH,HIGH
3.833,21,21,2,19,0,9.523809523809524,90.47619047619048,0.0,6.024052290417479,6.024096385542156,100.0,100.0,27.142857142857142,56.285714285714285,41.71,HIGH,MODERATE
