timestamp_seconds,tracked_vehicle_count,average_speed_kmh,median_speed_kmh,average_pixel_speed,median_pixel_speed,total_pixel_movement,moving_vehicle_count,slow_vehicle_count,stopped_vehicle_count,UNKNOWN,stopped_vehicle_percentage,slow_vehicle_percentage,moving_vehicle_percentage,movement_congestion_score,calibration_status
0.167,2,,,0.0,0.0,0.0,0,0,0,2,0.0,0.0,0.0,10.0,demo_calibration
0.834,1,18.22,18.22,28.5,28.5,19.01,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
2.502,1,3.23,3.23,11.01,11.01,25.71,0,1,0,0,0.0,100.0,0.0,30.0,demo_calibration
6.173,1,,,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,10.0,demo_calibration
6.34,1,8.85,8.85,74.85,74.85,12.5,0,1,0,0,0.0,100.0,0.0,30.0,demo_calibration
6.506,1,14.88,14.88,85.29,85.29,15.89,0,1,0,0,0.0,100.0,0.0,30.0,demo_calibration
6.673,1,15.74,15.74,76.47,76.47,9.82,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
6.84,1,10.62,10.62,70.16,70.16,9.34,0,1,0,0,0.0,100.0,0.0,30.0,demo_calibration
7.007,1,10.2,10.2,56.6,56.6,9.19,0,1,0,0,0.0,100.0,0.0,30.0,demo_calibration
7.341,1,4.57,4.57,10.59,10.59,49.21,0,1,0,0,0.0,100.0,0.0,30.0,demo_calibration
7.841,1,,,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,10.0,demo_calibration
8.008,1,11.3,11.3,21.17,21.17,3.54,0,1,0,0,0.0,100.0,0.0,30.0,demo_calibration
8.175,2,13.31,13.31,16.94,16.94,2.12,0,1,0,1,0.0,50.0,0.0,20.0,demo_calibration
8.342,1,1.72,1.72,39.04,39.04,6.52,0,0,1,0,100.0,0.0,0.0,80.0,demo_calibration
8.508,2,1.45,1.45,30.17,30.17,3.54,0,0,1,1,50.0,0.0,0.0,45.0,demo_calibration
8.675,2,10.6,10.6,138.31,138.31,44.95,1,1,0,0,0.0,50.0,50.0,15.0,demo_calibration
8.842,2,8.54,8.54,133.19,133.19,45.29,1,0,1,0,50.0,0.0,50.0,40.0,demo_calibration
9.009,1,22.86,22.86,228.88,228.88,35.36,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
9.176,1,22.86,22.86,272.86,272.86,63.82,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
9.343,1,22.86,22.86,355.87,355.87,79.12,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
9.51,1,22.86,22.86,423.08,423.08,69.03,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
9.676,1,22.86,22.86,404.66,404.66,54.26,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
9.843,1,22.86,22.86,338.99,338.99,46.22,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
10.01,1,22.86,22.86,276.35,276.35,37.64,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
10.177,1,22.86,22.86,229.91,229.91,31.32,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
10.344,1,22.86,22.86,187.55,187.55,25.0,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
10.511,2,12.07,12.07,85.63,85.63,68.87,1,0,1,0,50.0,0.0,50.0,40.0,demo_calibration
10.677,1,22.86,22.86,139.29,139.29,21.1,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
10.844,2,22.86,22.86,132.58,132.58,21.64,1,0,0,1,0.0,0.0,50.0,5.0,demo_calibration
11.011,2,13.71,13.71,140.62,140.62,53.86,1,1,0,0,0.0,50.0,50.0,15.0,demo_calibration
11.178,1,9.47,9.47,169.78,169.78,34.62,0,1,0,0,0.0,100.0,0.0,30.0,demo_calibration
11.345,1,9.83,9.83,191.19,191.19,39.08,0,1,0,0,0.0,100.0,0.0,30.0,demo_calibration
11.511,1,11.67,11.67,249.37,249.37,50.93,0,1,0,0,0.0,100.0,0.0,30.0,demo_calibration
11.678,1,14.74,14.74,17.78,17.78,33.71,0,1,0,0,0.0,100.0,0.0,30.0,demo_calibration
14.181,1,16.14,16.14,270.42,270.42,0.0,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
18.018,1,,,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,10.0,demo_calibration
18.185,1,29.28,29.28,48.74,48.74,8.14,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
18.352,1,51.74,51.74,55.09,55.09,10.26,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
18.518,1,60.55,60.55,61.23,61.23,12.21,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
18.685,1,63.75,63.75,70.18,70.18,12.62,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
18.852,1,67.36,67.36,78.07,78.07,14.21,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
19.019,1,71.01,71.01,84.74,84.74,15.62,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
19.186,1,75.4,75.4,99.47,99.47,20.0,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
19.353,1,75.4,75.4,115.21,115.21,22.1,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
19.52,1,75.4,75.4,133.03,133.03,24.55,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
19.686,1,75.4,75.4,147.41,147.41,27.04,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
19.853,2,75.4,75.4,169.73,169.73,33.29,1,0,0,1,0.0,0.0,50.0,5.0,demo_calibration
20.02,2,41.62,41.62,145.66,145.66,55.3,1,1,0,0,0.0,50.0,50.0,15.0,demo_calibration
20.187,3,50.52,50.52,167.04,167.04,64.28,2,0,0,1,0.0,0.0,66.66666666666666,3.33,demo_calibration
25.692,1,,,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,10.0,demo_calibration
25.859,1,42.9,42.9,79.04,79.04,13.2,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
26.026,1,42.9,42.9,94.34,94.34,18.31,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
26.193,1,42.9,42.9,106.09,106.09,21.64,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
26.36,1,42.9,42.9,125.87,125.87,23.11,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
26.527,1,42.9,42.9,148.01,148.01,29.4,1,0,0,0,0.0,0.0,100.0,0.0,demo_calibration
