timestamp_seconds,frame_number,track_id,vehicle_type,center_x,center_y,bbox_width,bbox_height
0.167,5,1,car,356.0,573.5,114,71
0.167,5,2,car,713.5,518.0,69,52
0.834,25,2,car,714.0,499.0,70,54
2.502,75,1,car,379.0,585.0,168,106
6.173,185,286,car,1244.0,427.0,42,30
6.34,190,286,car,1232.0,423.5,40,29
6.506,195,286,car,1216.5,420.0,39,28
6.673,200,286,car,1207.0,417.5,36,27
6.84,205,286,car,1198.0,420.0,34,24
7.007,210,286,car,1189.5,416.5,37,27
7.341,220,1,car,412.0,621.5,136,87
7.841,235,340,car,12.5,351.0,25,32
8.008,240,340,car,12.0,354.5,24,31
8.175,245,340,car,10.5,356.0,21,32
8.175,245,350,car,1112.0,416.5,92,51
8.342,250,350,car,1105.5,417.0,97,54
8.508,255,350,car,1102.0,416.5,92,51
8.508,255,356,truck,1791.0,674.5,182,251
8.675,260,350,car,1099.0,415.5,76,43
8.675,260,356,truck,1752.0,659.5,196,265
8.842,265,350,car,1091.5,417.5,75,43
8.842,265,356,truck,1714.5,661.0,233,308
9.009,270,356,truck,1683.5,644.0,245,310
9.176,275,356,truck,1628.0,612.5,224,269
9.343,280,356,truck,1554.0,584.5,200,227
9.51,285,356,truck,1487.5,566.0,181,196
9.676,290,356,truck,1435.5,550.5,165,171
9.843,295,356,truck,1391.0,538.0,152,152
10.01,300,356,truck,1355.0,527.0,142,136
10.177,305,356,truck,1325.0,518.0,132,122
10.344,310,356,truck,1301.0,511.0,124,112
10.511,315,356,truck,1278.5,504.0,113,100
10.511,315,1,car,456.5,630.0,137,92
10.677,320,356,truck,1260.5,493.0,107,92
10.844,325,356,truck,1244.0,479.0,106,90
10.844,325,427,car,701.0,545.0,68,58
11.011,330,356,truck,1229.0,451.0,112,96
11.011,330,427,car,679.0,547.0,74,64
11.178,335,427,car,645.0,540.5,86,73
11.345,340,427,car,606.0,543.0,102,88
11.511,345,427,car,556.5,555.0,123,106
11.678,350,1,truck,468.5,598.5,191,135
14.181,425,427,car,108.0,525.5,132,101
18.018,540,721,car,803.0,251.5,42,39
18.185,545,721,car,797.5,257.5,45,43
18.352,550,721,car,790.0,264.5,50,47
18.518,555,721,car,780.0,271.5,52,49
18.685,560,721,car,769.5,278.5,55,53
18.852,565,721,car,758.5,287.5,59,57
19.019,570,721,car,746.5,297.5,63,61
19.186,575,721,car,730.5,309.5,67,65
19.353,580,721,car,713.0,323.0,72,70
19.52,585,721,car,692.5,336.5,79,77
19.686,590,721,car,670.0,351.5,88,87
19.853,595,721,truck,642.0,369.5,100,97
19.853,595,764,car,717.0,260.5,74,33
20.02,600,721,car,608.0,391.0,112,110
20.02,600,764,car,702.0,262.0,84,38
20.187,605,721,car,565.5,418.0,129,126
20.187,605,764,car,689.0,267.0,94,42
20.187,605,774,car,30.0,152.5,60,31
