timestamp_seconds,vehicle_count,vehicle_density_score,tracked_vehicle_count,moving_vehicle_count,slow_vehicle_count,stopped_vehicle_count,moving_vehicle_percentage,slow_vehicle_percentage,stopped_vehicle_percentage,average_speed_kmh,median_speed_kmh,average_pixel_speed,median_pixel_speed,movement_congestion_score,vision_congestion_score,traffic_state,calibration_status,cars,motorcycles,buses,trucks,total_pixel_movement,unknown
0.167,2,9.523809523809524,2,0,0,0,0.0,0.0,0.0,,,0.0,0.0,10.0,9.81,LOW,demo_calibration,2,0,0,0,0.0,2
0.834,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,18.22,18.22,28.5,28.5,0.0,1.9,LOW,demo_calibration,1,0,0,0,19.01,0
2.502,1,4.761904761904762,1,0,1,0,0.0,100.0,0.0,3.23,3.23,11.01,11.01,30.0,19.9,LOW,demo_calibration,1,0,0,0,25.71,0
6.173,1,4.761904761904762,1,0,0,0,0.0,0.0,0.0,,,0.0,0.0,10.0,7.9,LOW,demo_calibration,1,0,0,0,0.0,1
6.34,1,4.761904761904762,1,0,1,0,0.0,100.0,0.0,8.85,8.85,74.85,74.85,30.0,19.9,LOW,demo_calibration,1,0,0,0,12.5,0
6.506,1,4.761904761904762,1,0,1,0,0.0,100.0,0.0,14.88,14.88,85.29,85.29,30.0,19.9,LOW,demo_calibration,1,0,0,0,15.89,0
6.673,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,15.74,15.74,76.47,76.47,0.0,1.9,LOW,demo_calibration,1,0,0,0,9.82,0
6.84,1,4.761904761904762,1,0,1,0,0.0,100.0,0.0,10.62,10.62,70.16,70.16,30.0,19.9,LOW,demo_calibration,1,0,0,0,9.34,0
7.007,1,4.761904761904762,1,0,1,0,0.0,100.0,0.0,10.2,10.2,56.6,56.6,30.0,19.9,LOW,demo_calibration,1,0,0,0,9.19,0
7.341,1,4.761904761904762,1,0,1,0,0.0,100.0,0.0,4.57,4.57,10.59,10.59,30.0,19.9,LOW,demo_calibration,1,0,0,0,49.21,0
7.841,1,4.761904761904762,1,0,0,0,0.0,0.0,0.0,,,0.0,0.0,10.0,7.9,LOW,demo_calibration,1,0,0,0,0.0,1
8.008,1,4.761904761904762,1,0,1,0,0.0,100.0,0.0,11.3,11.3,21.17,21.17,30.0,19.9,LOW,demo_calibration,1,0,0,0,3.54,0
8.175,2,9.523809523809524,2,0,1,0,0.0,50.0,0.0,13.31,13.31,16.94,16.94,20.0,15.81,LOW,demo_calibration,2,0,0,0,2.12,1
8.342,1,4.761904761904762,1,0,0,1,0.0,0.0,100.0,1.72,1.72,39.04,39.04,80.0,49.9,MODERATE,demo_calibration,1,0,0,0,6.52,0
8.508,2,9.523809523809524,2,0,0,1,0.0,0.0,50.0,1.45,1.45,30.17,30.17,45.0,30.81,MODERATE,demo_calibration,1,0,0,1,3.54,1
8.675,2,9.523809523809524,2,1,1,0,50.0,50.0,0.0,10.6,10.6,138.31,138.31,15.0,12.81,LOW,demo_calibration,1,0,0,1,44.95,0
8.842,2,9.523809523809524,2,1,0,1,50.0,0.0,50.0,8.54,8.54,133.19,133.19,40.0,27.81,LOW,demo_calibration,1,0,0,1,45.29,0
9.009,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,22.86,22.86,228.88,228.88,0.0,1.9,LOW,demo_calibration,0,0,0,1,35.36,0
9.176,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,22.86,22.86,272.86,272.86,0.0,1.9,LOW,demo_calibration,0,0,0,1,63.82,0
9.343,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,22.86,22.86,355.87,355.87,0.0,1.9,LOW,demo_calibration,0,0,0,1,79.12,0
9.51,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,22.86,22.86,423.08,423.08,0.0,1.9,LOW,demo_calibration,0,0,0,1,69.03,0
9.676,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,22.86,22.86,404.66,404.66,0.0,1.9,LOW,demo_calibration,0,0,0,1,54.26,0
9.843,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,22.86,22.86,338.99,338.99,0.0,1.9,LOW,demo_calibration,0,0,0,1,46.22,0
10.01,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,22.86,22.86,276.35,276.35,0.0,1.9,LOW,demo_calibration,0,0,0,1,37.64,0
10.177,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,22.86,22.86,229.91,229.91,0.0,1.9,LOW,demo_calibration,0,0,0,1,31.32,0
10.344,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,22.86,22.86,187.55,187.55,0.0,1.9,LOW,demo_calibration,0,0,0,1,25.0,0
10.511,2,9.523809523809524,2,1,0,1,50.0,0.0,50.0,12.07,12.07,85.63,85.63,40.0,27.81,LOW,demo_calibration,1,0,0,1,68.87,0
10.677,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,22.86,22.86,139.29,139.29,0.0,1.9,LOW,demo_calibration,0,0,0,1,21.1,0
10.844,2,9.523809523809524,2,1,0,0,50.0,0.0,0.0,22.86,22.86,132.58,132.58,5.0,6.81,LOW,demo_calibration,1,0,0,1,21.64,1
11.011,2,9.523809523809524,2,1,1,0,50.0,50.0,0.0,13.71,13.71,140.62,140.62,15.0,12.81,LOW,demo_calibration,1,0,0,1,53.86,0
11.178,1,4.761904761904762,1,0,1,0,0.0,100.0,0.0,9.47,9.47,169.78,169.78,30.0,19.9,LOW,demo_calibration,1,0,0,0,34.62,0
11.345,1,4.761904761904762,1,0,1,0,0.0,100.0,0.0,9.83,9.83,191.19,191.19,30.0,19.9,LOW,demo_calibration,1,0,0,0,39.08,0
11.511,1,4.761904761904762,1,0,1,0,0.0,100.0,0.0,11.67,11.67,249.37,249.37,30.0,19.9,LOW,demo_calibration,1,0,0,0,50.93,0
11.678,1,4.761904761904762,1,0,1,0,0.0,100.0,0.0,14.74,14.74,17.78,17.78,30.0,19.9,LOW,demo_calibration,0,0,0,1,33.71,0
14.181,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,16.14,16.14,270.42,270.42,0.0,1.9,LOW,demo_calibration,1,0,0,0,0.0,0
18.018,1,4.761904761904762,1,0,0,0,0.0,0.0,0.0,,,0.0,0.0,10.0,7.9,LOW,demo_calibration,1,0,0,0,0.0,1
18.185,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,29.28,29.28,48.74,48.74,0.0,1.9,LOW,demo_calibration,1,0,0,0,8.14,0
18.352,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,51.74,51.74,55.09,55.09,0.0,1.9,LOW,demo_calibration,1,0,0,0,10.26,0
18.518,1,4.761904761904762,1,1,0,0,100.0,0.0,0.0,60.55,60.55,61.23,61.23,0.0,1.9,LOW,demo_calibration,1,0,0,0,12.21,0
